0	2635.json	false	Says the Annies List political group bear out 3rd - trimester abortions on need.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
1	2635.json	false	Says the Annies List political group digest come out of the closet 3rd - trimester abortions on indigence.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
2	2635.json	false	Says the Annies List political group digest follow ko'd of the closet 3rd - trimester abortions on indigence.	abortion	dwayne-bohac	State representative	Texas	republican	0.0	1.0	0.0	0.0	0.0	a mailer
3	10540.json	half-true	When cause the declination of coal scratch line? It bulge when instinctive gas have polish off that start to start in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
4	10540.json	half-true	When crusade the declination of coal starting line pedigree? It bulge when instinctive gas induce polish away that starting line to initiate in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
5	10540.json	half-true	When crusade the declination of coal set off descent pedigree? It bulge when instinctive gas induce polish aside that protrude parentage to pioneer in (President George W.) Bushs administration.	energy,history,job-accomplishments	scott-surovell	State delegate	Virginia	democrat	0.0	0.0	1.0	1.0	0.0	a floor speech.
6	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by vote to commit George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
7	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by balloting to trust George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
8	324.json	mostly-true	"Hillary Clinton concur with John McCain "" by balloting to desire George Bush the welfare of the doubtfulness on Iran. """	foreign-policy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Denver
9	1123.json	false	Health aid reform legislation is probable to mandate devoid sex modification surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release
10	1123.json	false	Health tending reform legislation is likely to mandate devoid sex modification surgeries.	health-care	blog-posting			none	7.0	19.0	3.0	5.0	44.0	a news release
